description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			100	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			100	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Wirt's leg -> Portal to Cow lvl	1			100	28				1	leg							Cow Portal																																																																																							0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
Unidentified Rune -> 3 random runes when transmuted	1			100					1	und							rune	100																												rune	100																												rune	100																												0
Unidentified Gem -> 3 random gems when transmuted	1			100					1	elx							gem	100																												gem	100																												gem	100																												0
3 small rejuvs -> one large	1			100					3	rvs,qty=3							rvl																																																																																							0
3 chipped amethysts -> flawed amethyst	1			100					3	gcv,qty=3							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			100					3	gfv,qty=3							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			100					3	gsv,qty=3							gzv																																																																																							0
3 flawless amethysts -> perfect amethyst	1			100					3	gzv,qty=3							gpv																																																																																							0
3 chipped rubies -> flawed ruby	1			100					3	gcr,qty=3							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			100					3	gfr,qty=3							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			100					3	gsr,qty=3							glr																																																																																							0
3 flawless rubies -> perfect ruby	1			100					3	glr,qty=3							gpr																																																																																							0
3 chipped sapphires -> flawed sapphire	1			100					3	gcb,qty=3							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			100					3	gfb,qty=3							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			100					3	gsb,qty=3							glb																																																																																							0
3 flawless sapphires -> perfect sapphire	1			100					3	glb,qty=3							gpb																																																																																							0
3 chipped topazes -> flawed topaz	1			100					3	gcy,qty=3							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			100					3	gfy,qty=3							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			100					3	gsy,qty=3							gly																																																																																							0
3 flawless topazes -> perfect topaz	1			100					3	gly,qty=3							gpy																																																																																							0
3 chipped emeralds -> flawed emerald	1			100					3	gcg,qty=3							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			100					3	gfg,qty=3							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			100					3	gsg,qty=3							glg																																																																																							0
3 flawless emeralds -> perfect emerald	1			100					3	glg,qty=3							gpg																																																																																							0
3 chipped diamonds -> flawed diamond	1			100					3	gcw,qty=3							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			100					3	gfw,qty=3							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			100					3	gsw,qty=3							glw																																																																																							0
3 flawless diamonds -> perfect diamond	1			100					3	glw,qty=3							gpw																																																																																							0
3 chipped skulls -> flawed skull	1			100					3	skc,qty=3							skf																																																																																							0
3 flawed skulls -> standard skull	1			100					3	skf,qty=3							sku																																																																																							0
3 standard skulls -> flawless skull	1			100					3	sku,qty=3							skl																																																																																							0
3 flawless skulls -> perfect skull	1			100					3	skl,qty=3							skz																																																																																							0
3 chipped ambers -> flawed amber	1			100					3	gco,qty=3							gfo																																																																																							0
3 flawed ambers -> standard amber	1			100					3	gfo,qty=3							gso																																																																																							0
3 standard ambers -> flawless amber	1			100					3	gso,qty=3							glo																																																																																							0
3 flawless ambers -> perfect amber	1			100					3	glo,qty=3							gpo																																																																																							0
3 chipped obsidians -> flawed obsidian	1			100					3	gcd,qty=3							gfd																																																																																							0
3 flawed obsidians -> standard obsidian	1			100					3	gfd,qty=3							gzd																																																																																							0
3 standard obsidians -> flawless obsidian	1			100					3	gzd,qty=3							gbd																																																																																							0
3 flawless obsidians -> perfect obsidian	1			100					3	gbd,qty=3							gpd																																																																																							0
3 chipped aquamarines -> flawed aquamarine	1			100					3	gcq,qty=3							gfq																																																																																							0
3 flawed aquamarines -> standard aquamarine	1			100					3	gfq,qty=3							gaq																																																																																							0
3 standard aquamarines -> flawless aquamarine	1			100					3	gaq,qty=3							gxq																																																																																							0
3 flawless aquamarines -> perfect aquamarine	1			100					3	gxq,qty=3							gpq																																																																																							0
3 rune 01 -> rune 02	1			100					3	r01,qty=3							r02																																																																																							0
3 rune 02 -> rune 03	1			100					3	r02,qty=3							r03																																																																																							0
3 rune 03 -> rune 04	1			100					3	r03,qty=3							r04																																																																																							0
3 rune 04 -> rune 05	1			100					3	r04,qty=3							r05																																																																																							0
3 rune 05 -> rune 06	1			100					3	r05,qty=3							r06																																																																																							0
3 rune 06 -> rune 07	1			100					3	r06,qty=3							r07																																																																																							0
3 rune 07 -> rune 08	1			100					3	r07,qty=3							r08																																																																																							0
3 rune 08 -> rune 09	1			100					3	r08,qty=3							r09																																																																																							0
3 rune 09 -> rune 10	1			100					3	r09,qty=3							r10																																																																																							0
3 rune 10 -> rune 11	1			100					3	r10,qty=3							r11																																																																																							0
3 rune 11 -> rune 12	1			100					3	r11,qty=3							r12																																																																																							0
3 rune 12 -> rune 13	1			100					3	r12,qty=3							r13																																																																																							0
3 rune 13 -> rune 14	1			100					3	r13,qty=3							r14																																																																																							0
3 rune 14 -> rune 15	1			100					3	r14,qty=3							r15																																																																																							0
3 rune 15 -> rune 16	1			100					3	r15,qty=3							r16																																																																																							0
3 rune 16 -> rune 17	1			100					3	r16,qty=3							r17																																																																																							0
3 rune 17 -> rune 18	1			100					3	r17,qty=3							r18																																																																																							0
3 rune 18 -> rune 19	1			100					3	r18,qty=3							r19																																																																																							0
3 rune 19 -> rune 20	1			100					3	r19,qty=3							r20																																																																																							0
3 rune 20 -> rune 21	1			100					3	r20,qty=3							r21																																																																																							0
2 rune 21 -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
2 rune 22 -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
2 rune 23 -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
2 rune 24 -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
2 rune 25 -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
2 rune 26 -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
2 rune 27 -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
2 rune 28 -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 -> rune 31	1			100					2	r30,qty=2							r31																																																																																							0
2 rune 31 -> rune 32	1			100					2	r31,qty=2							r32																																																																																							0
2 rune 32 -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
key + r02 -> r01	1			100					2	key	r02						r01																																																																																							0
key + r03 -> r02	1			100					2	key	r03						r02																																																																																							0
key + r04 -> r03	1			100					2	key	r04						r03																																																																																							0
key + r05 -> r04	1			100					2	key	r05						r04																																																																																							0
key + r06 -> r05	1			100					2	key	r06						r05																																																																																							0
key + r07 -> r06	1			100					2	key	r07						r06																																																																																							0
key + r08 -> r07	1			100					2	key	r08						r07																																																																																							0
key + r09 -> r08	1			100					2	key	r09						r08																																																																																							0
key + r10 -> r09	1			100					2	key	r10						r09																																																																																							0
key + r11 -> r10	1			100					2	key	r11						r10																																																																																							0
key + r12 -> r11	1			100					2	key	r12						r11																																																																																							0
key + r13 -> r12	1			100					2	key	r13						r12																																																																																							0
key + r14 -> r13	1			100					2	key	r14						r13																																																																																							0
key + r15 -> r14	1			100					2	key	r15						r14																																																																																							0
key + r16 -> r15	1			100					2	key	r16						r15																																																																																							0
key + r17 -> r16	1			100					2	key	r17						r16																																																																																							0
key + r18 -> r17	1			100					2	key	r18						r17																																																																																							0
key + r19 -> r18	1			100					2	key	r19						r18																																																																																							0
key + r20 -> r19	1			100					2	key	r20						r19																																																																																							0
key + r21 -> r20	1			100					2	key	r21						r20																																																																																							0
key + r22 -> r21	1			100					2	key	r22						r21																																																																																							0
key + r23 -> r22	1			100					2	key	r23						r22																																																																																							0
key + r24 -> r23	1			100					2	key	r24						r23																																																																																							0
key + r25 -> r24	1			100					2	key	r25						r24																																																																																							0
key + r26 -> r25	1			100					2	key	r26						r25																																																																																							0
key + r27 -> r26	1			100					2	key	r27						r26																																																																																							0
key + r28 -> r27	1			100					2	key	r28						r27																																																																																							0
key + r29 -> r28	1			100					2	key	r29						r28																																																																																							0
key + r30 -> r29	1			100					2	key	r30						r29																																																																																							0
key + r31 -> r30	1			100					2	key	r31						r30																																																																																							0
key + r32 -> r31	1			100					2	key	r32						r31																																																																																							0
key + r33 -> r32	1			100					2	key	r33						r32																																																																																							0
Smith's Whetstone	1			100					2	weap,noe	hpo						useitem,rep,rch,qty=255																																																																																							0
Smith's Whetstone	1			100					2	armo,noe	hpo						useitem,rep,rch,qty=255																																																																																							0
Smith's Whetstone	1			100					2	aqv,mag	hpo						useitem,rep,rch,qty=255																																																																																							0
Smith's Whetstone	1			100					2	cqv,mag	hpo						useitem,rep,rch,qty=255																																																																																							0
Smith's Whetstone	1			100					2	aqv,rar	hpo						useitem,rep,rch,qty=255																																																																																							0
Smith's Whetstone	1			100					2	cqv,rar	hpo						useitem,rep,rch,qty=255																																																																																							0
Charsi's Chisel	1			100					2	any,sock	mpo						useitem,uns			100																																																																																				0
Forged Tool	1			100					2	weap,nor,nos	hpf						usetype,hiq			100	ethereal	5				sock	100		2	6																																																																										0
Forged Tool	1			100					2	armo,nor,nos	hpf						usetype,hiq			100	ethereal	5				sock	100		2	6																																																																										0
Forged Tool	1			100					2	weap,hiq,nos	hpf						usetype,hiq			100	ethereal	5				sock	100		2	6																																																																										0
Forged Tool	1			100					2	armo,hiq,nos	hpf						usetype,hiq			100	ethereal	5				sock	100		2	6																																																																										0
Angelic Shard	1			100					2	weap,bas,uni	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	armo,bas,uni	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	weap,bas,set	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	armo,bas,set	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	weap,bas,rar	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	armo,bas,rar	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	weap,bas,mag	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	armo,bas,mag	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	weap,bas,crf	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Angelic Shard	1			100					2	armo,bas,crf	mpf						useitem,mod,exc			100	levelreq			5	5																																																																															0
Demonic Shard	1			100					2	weap,exc,uni	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	armo,exc,uni	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	weap,exc,set	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	armo,exc,set	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	weap,exc,rar	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	armo,exc,rar	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	weap,exc,mag	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	armo,exc,mag	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	weap,exc,crf	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Demonic Shard	1			100					2	armo,exc,crf	tch						useitem,mod,eli			100	levelreq			7	7																																																																															0
Magic Dice	1			100					2	any,mag	luv						usetype,mag			100																																																																																				0
Rare Token	1			100					2	any,rar	hrb						usetype,rar			100																																																																																				0
Magic Helm + Perfect Sapphire -> Crafted Helm	1			100	18	365			3	helm,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	8	ac-miss			25	50	levelreq			-10	-10																																																																0
Magic Boots + Perfect Sapphire -> Crafted Boots	1			100	18	365			3	boot,mag	rps	gpb					usetype,crf		50	50	gethit-skill		44	5	8	cold-thorns			3	8	ac-hth			25	50	levelreq			-10	-10																																																																0
