class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Sorceress	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Necromancer	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Paladin	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Barbarian	320	640	0	441	10	8	336	623	153	383	29	29	328	386	28	140	58	112	397	455	62	149	58	87	574	632	28	140	58	112	397	455	2	58	58	56	466	496	18	49	30	31	466	496	63	94	30	31	466	496	110	141	30	31	507	565	62	87	58	25	507	565	91	149	58	58	507	565	2	58	58	56
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	4	4	103	219	139	253	29	29	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
