Act	Place
1	gheed
1	cain1
1	akara
1	chicken
1	rogue1
1	kashya
1	cow
1	warriv1
1	charsi
1	andariel
1	place_fallen
1	place_fallenshaman
1	place_bloodraven
1	cow
1	camel
1	place_unique_pack
1	place_npc_pack
1	place_nothing
1	place_nothing
1	place_champion
1	navi
1	rogue1
1	rogue3
1	gargoyletrap
1	place_fallennest
1	place_talkingrogue
1	place_fallen
1	place_fallenshaman
1	trap-horzmissile
1	trap-vertmissile
1	place_group25
1	place_group50
1	place_group75
1	place_group100
1	Bishibosh
1	Bonebreak
1	Coldcrow
1	Rakanishu
1	Treehead WoodFist
1	Griswold
1	The Countess
1	Pitspawn Fouldog
1	Flamespike the Crawler
1	Boneash
1	The Smith
1	The Cow King
1	Corpsefire
1	skeleton1
1	skeleton2
1	skeleton3
1	skeleton4
1	skeleton5
1	zombie1
1	zombie2
1	zombie3
1	zombie4
1	zombie5
1	bighead1
1	bighead2
1	bighead3
1	bighead4
1	bighead5
1	foulcrow1
1	foulcrow2
1	foulcrow3
1	foulcrow4
1	fallen1
1	fallen2
1	fallen3
1	fallen4
1	fallen5
1	brute2
1	brute3
1	brute4
1	brute5
1	brute1
1	sandraider1
1	sandraider2
1	sandraider3
1	sandraider4
1	sandraider5
1	gorgon1
1	gorgon2
1	gorgon3
1	gorgon4
1	wraith1
1	wraith2
1	wraith3
1	wraith4
1	wraith5
1	corruptrogue1
1	corruptrogue2
1	corruptrogue3
1	corruptrogue4
1	corruptrogue5
1	baboon1
1	baboon2
1	baboon3
1	baboon4
1	baboon5
1	goatman1
1	goatman2
1	goatman3
1	goatman4
1	goatman5
1	fallenshaman1
1	fallenshaman2
1	fallenshaman3
1	fallenshaman4
1	fallenshaman5
1	quillrat1
1	quillrat2
1	quillrat3
1	quillrat4
1	quillrat5
1	sandmaggot1
1	sandmaggot2
1	sandmaggot3
1	sandmaggot4
1	sandmaggot5
1	clawviper1
1	clawviper2
1	clawviper3
1	clawviper4
1	clawviper5
1	sandleaper1
1	sandleaper2
1	sandleaper3
1	sandleaper4
1	sandleaper5
1	pantherwoman1
1	pantherwoman2
1	pantherwoman3
1	pantherwoman4
1	swarm1
1	swarm2
1	swarm3
1	swarm4
1	scarab1
1	scarab2
1	scarab3
1	scarab4
1	scarab5
1	mummy1
1	mummy2
1	mummy3
1	mummy4
1	mummy5
1	unraveler1
1	unraveler2
1	unraveler3
1	unraveler4
1	unraveler5
1	chaoshorde1
1	chaoshorde2
1	chaoshorde3
1	chaoshorde4
1	vulture1
1	vulture2
1	vulture3
1	vulture4
1	mosquito1
1	mosquito2
1	mosquito3
1	mosquito4
1	willowisp1
1	willowisp2
1	willowisp3
1	willowisp4
1	arach1
1	arach2
1	arach3
1	arach4
1	arach5
1	thornhulk1
1	thornhulk2
1	thornhulk3
1	thornhulk4
1	vampire1
1	vampire2
1	vampire3
1	vampire4
1	vampire5
1	batdemon1
1	batdemon2
1	batdemon3
1	batdemon4
1	batdemon5
1	fetish1
1	fetish2
1	fetish3
1	fetish4
1	fetish5
1	cain1
1	gheed
1	akara
1	chicken
1	kashya
1	rat
1	rogue1
1	hellmeteor
1	charsi
1	warriv1
1	andariel
1	bird1
1	bird2
1	bat
1	cr_archer1
1	cr_archer2
1	cr_archer3
1	cr_archer4
1	cr_archer5
1	cr_lancer1
1	cr_lancer2
1	cr_lancer3
1	cr_lancer4
1	cr_lancer5
1	sk_archer1
1	sk_archer2
1	sk_archer3
1	sk_archer4
1	sk_archer5
1	warriv2
1	atma
1	drognan
1	fara
1	cow
1	maggotbaby1
1	maggotbaby2
1	maggotbaby3
1	maggotbaby4
1	maggotbaby5
1	camel
1	blunderbore1
1	blunderbore2
1	blunderbore3
1	blunderbore4
1	maggotegg1
1	maggotegg2
1	maggotegg3
1	maggotegg4
1	maggotegg5
1	act2male
1	act2female
1	act2child
1	greiz
1	elzix
1	geglash
1	jerhyn
1	lysander
1	act2guard1
1	act2vendor1
1	act2vendor2
1	crownest1
