*desc	enabled	page	x	y	color	font	statID	end
item_fasterattackrate	1	1	25	445	8	1	93	0
item_fastercastrate	1	1	25	430	8	1	105	0
item_fastermovevelocity	1	1	25	415	8	1	96	0
item_openwounds	1	1	25	400	8	1	135	0
item_crushingblow	1	1	25	385	8	1	136	0
item_deadlystrike	1	1	25	370	8	1	141	0
item_demondamage_percent	1	1	25	355	8	1	121	0
item_undeaddamage_percent	1	1	25	340	8	1	122	0
item_demon_tohit	1	1	25	325	8	1	123	0
item_undead_tohit	1	1	25	310	8	1	124	0
item_freeze	1	1	25	295	8	1	134	0
item_stupidity	1	1	25	280	8	1	113	0
item_howl	1	1	25	265	8	1	112	0
item_slow	1	1	25	250	8	1	150	0
item_damagetargetac	1	1	25	235	8	1	120	0
item_fractionaltargetac	1	1	25	220	8	1	116	0
item_pierce	1	1	25	205	8	1	156	0
item_fastergethitrate	1	2	25	445	8	1	99	0
damageresist	1	2	25	430	8	1	36	0
normal_damage_reduction	1	2	25	415	8	1	34	0
magic_damage_reduction	1	2	25	400	8	1	35	0
armorclass_vs_missile	1	2	25	385	8	1	32	0
armorclass_vs_hth	1	2	25	370	8	1	33	0
item_attackertakesdamage	1	2	25	355	8	1	78	0
item_attackertakeslightdamage	1	2	25	340	8	1	128	0
item_attackertakescolddamage	1	2	25	325	8	1	368	0
item_attackertakesfiredamage	1	2	25	310	8	1	369	0
lifedrainmindam	1	3	25	445	8	1	60	0
item_healafterdemonkill	1	3	25	430	8	1	139	0
item_healafterkill	1	3	25	415	8	1	86	0
hpregen	1	3	25	400	8	1	74	0
item_maxhp_percent	1	3	25	385	8	1	76	0
manadrainmindam	1	3	25	370	8	1	62	0
item_manaafterkill	1	3	25	355	8	1	138	0
manarecoverybonus	1	3	25	340	8	1	27	0
item_damagetomana	1	3	25	325	8	1	114	0
item_maxmana_percent	1	3	25	310	8	1	77	0
firemindam	1	4	25	445	8	1	48	0
firemaxdam	1	4	25	430	8	1	49	0
coldmindam	1	4	25	415	8	1	54	0
coldmaxdam	1	4	25	400	8	1	55	0
lightmindam	1	4	25	385	8	1	50	0
lightmaxdam	1	4	25	370	8	1	51	0
poisonmindam	1	4	25	355	8	1	57	0
poisonmaxdam	1	4	25	340	8	1	58	0
magicmindam	1	4	25	325	8	1	52	0
magicmaxdam	1	4	25	310	8	1	53	0
item_elemskillfire	1	5	25	445	8	1	363	0
item_elemskillcold	1	5	25	430	8	1	359	0
item_elemskilllight	1	5	25	415	8	1	360	0
item_elemskillpoison	1	5	25	400	8	1	361	0
item_elemskillmagic	1	5	25	385	8	1	362	0
passive_fire_mastery	1	5	25	370	8	1	329	0
passive_cold_mastery	1	5	25	355	8	1	331	0
passive_ltng_mastery	1	5	25	340	8	1	330	0
passive_pois_mastery	1	5	25	325	8	1	332	0
passive_mag_mastery_new	1	5	25	310	8	1	367	0
passive_fire_pierce	1	5	25	295	8	1	333	0
passive_cold_pierce	1	5	25	280	8	1	335	0
passive_ltng_pierce	1	5	25	265	8	1	334	0
passive_pois_pierce	1	5	25	250	8	1	336	0
passive_mag_pierce	1	5	25	235	8	1	358	0
passive_phys_pierce	1	5	25	220	8	1	378	0
fireresist	1	6	25	445	8	1	39	0
coldresist	1	6	25	430	8	1	43	0
lightresist	1	6	25	415	8	1	41	0
poisonresist	1	6	25	400	8	1	45	0
magicresist	1	6	25	385	8	1	37	0
maxfireresist	1	6	25	370	8	1	40	0
maxcoldresist	1	6	25	355	8	1	44	0
maxlightresist	1	6	25	340	8	1	42	0
maxpoisonresist	1	6	25	325	8	1	46	0
maxmagicresist	1	6	25	310	8	1	38	0
item_absorbfire_percent	1	7	25	445	8	1	142	0
item_absorbcold_percent	1	7	25	430	8	1	148	0
item_absorblight_percent	1	7	25	415	8	1	144	0
item_absorbmagic_percent	1	7	25	400	8	1	146	0
item_absorbfire_percent	1	7	25	385	8	1	143	0
item_absorbcold_percent	1	7	25	370	8	1	149	0
item_absorblight_percent	1	7	25	355	8	1	145	0
item_absorbmagic	1	7	25	340	8	1	147	0
item_poisonlengthresist	1	7	25	325	8	1	110	0
curse_resistance	1	7	25	310	8	1	109	0
item_allskills	1	8	25	445	8	1	127	0
item_lightradius	1	8	25	430	8	1	89	0
item_magicbonus	1	8	25	415	8	1	80	0
item_goldbonus	1	8	25	400	8	1	79	0
item_addexperience	1	8	25	385	8	1	85	0
item_reducedprices	1	8	25	370	8	1	87	0
item_strength_percent	1	8	25	355	8	1	370	0
item_dexterity_percent	1	8	25	340	8	1	371	0
item_vitality_percent	1	8	25	325	8	1	372	0
item_energy_percent	1	8	25	310	8	1	373	0
